Player_id,Player,Country,Image,Description,Batting Style,Bowling Style,Playing Role,Flags
10,Axar Patel,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331164.png",Indian all-rounder known for his effective left-arm spin bowling and useful batting in various formats.,Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/9FmPp07d/India.png
141,Logan van Beek,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331170.png",Dutch fast bowler known for his pace and ability to take wickets in crucial situations.,Right-hand bat,Right-arm fast-medium,All-rounder,https://i.postimg.cc/VNRZ6nqh/netherlands.png
105,Ben White,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339163.png",Emerging Irish leg-spinner known for his wicket-taking ability and potential in T20 cricket.,Right-hand bat,Right-arm leg break,Bowler,https://i.postimg.cc/1579gVHf/Ireland.png
95,Lorcan Tucker,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339164.png",Irish wicketkeeper-batsman with a knack for scoring quick runs and providing stability.,Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/1579gVHf/Ireland.png
96,Neil Rock,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339165.png",Irish player known for his batting potential and performances in domestic cricket.,Left-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/1579gVHf/Ireland.png
3,Yashasvi Jaiswal,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340309.png",Indian top-order batsman known for his aggressive batting and potential in domestic and international cricket.,Left-hand bat,Right-arm leg break,Batsman,https://i.postimg.cc/9FmPp07d/India.png
326,Nuwan Thushara,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/343400/343442.gif",Sri Lankan pace bowler recognized for his effectiveness and potential in domestic and international formats.,Right-hand bat,Right-Arm Medium,Bowler,https://i.postimg.cc/cLrn95Bh/SL.png
248,Maheesh Theekshana,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/347800/347825.png",Sri Lankan off-spinner with a reputation for his variations and effectiveness in T20 formats.,Right-hand bat,Right-arm offbreak,Bowler,https://i.postimg.cc/cLrn95Bh/SL.png
246,Charith Asalanka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348599.png",Sri Lankan cricketer known for his explosive batting and ability to contribute in all formats.,Left-hand bat,Right-arm offbreak,Batter,https://i.postimg.cc/cLrn95Bh/SL.png
116,Jan Frylinck,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348605.png",Namibian cricketer known for his all-round skills and crucial contributions in key matches.,Left-hand bat,Left-arm fast-medium,All-rounder,https://i.postimg.cc/CMByvrHL/namibia.png
110,Ruben Trumpelmann,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348607.png",Namibian fast bowler with the ability to take early wickets and provide breakthroughs.,Left-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/CMByvrHL/namibia.png
108,Michael Van Lingen,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350305.png",Namibian player known for his batting prowess and contributions in key matches.,Left-hand bat,Left-arm fast-medium,All-rounder,https://i.postimg.cc/CMByvrHL/namibia.png
113,Tangeni Lungameni,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350306.png",Namibian cricketer known for his potential and contributions with both bat and ball.,Right-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/CMByvrHL/namibia.png
107,Zane Green,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350307.png",Namibian cricketer with solid batting skills and a knack for providing stability in the middle order.,Left-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/CMByvrHL/namibia.png
341,Matheesha Pathirana,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355402.png","Sri Lankan fast bowler known for his pace and bounce, showing promise in domestic and international cricket.",Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/cLrn95Bh/SL.png
323,Angelo Mathews,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355600/355644.png","Sri Lankan all-rounder known for his batting prowess, useful medium pace, and leadership qualities.",Right-hand bat,Right-Arm Medium,All-Rounder,https://i.postimg.cc/cLrn95Bh/SL.png
103,Craig Young,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367859.png",Irish fast bowler with the ability to extract bounce and pace from the pitch.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/1579gVHf/Ireland.png
101,Josh Little,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367860.png",Promising Irish fast bowler known for his pace and ability to pick up crucial wickets.,Right-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/1579gVHf/Ireland.png
149,Vikram Singh,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368038.png",Dutch player with potential in both batting and bowling departments.,Left-hand bat,Right-arm medium-fast,Bowler,https://i.postimg.cc/VNRZ6nqh/netherlands.png
147,Teja Nidamanuru,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368040.png",Dutch cricketer known for his emerging talent and performances in domestic and international cricket.,Right-hand bat,Right-arm offbreak,Batter,https://i.postimg.cc/VNRZ6nqh/netherlands.png
143,Michael Levitt,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368043.png",Dutch cricketer with a growing reputation for his performances in domestic cricket.,Right-hand bat,-,Batter,https://i.postimg.cc/VNRZ6nqh/netherlands.png
140,Kyle Klein,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368044.png",Dutch cricketer with potential in both batting and bowling departments.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/VNRZ6nqh/netherlands.png
138,Aryan Dutt,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368048.png",Dutch cricketer known for his potential and contributions in domestic and international cricket.,Right-hand bat,Right-arm offbreak,Bowler,https://i.postimg.cc/VNRZ6nqh/netherlands.png
150,Viv Kingma,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368049.png",Dutch fast bowler known for his pace and ability to take wickets in crucial situations.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/VNRZ6nqh/netherlands.png
278,Harmeet Singh,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382830.png",American fast bowler known for his pace and effectiveness in the T20 format.,Left-hand bat,Left-arm Orthodox,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
283,Shayan Jahangir,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382831.png",Canadian cricketer known for his potential and performances in domestic and international matches.,Right-hand bat,-,Batter,https://i.postimg.cc/Hxbwng1k/usa.png
282,Andries Gous,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382832.png","South African cricketer with contributions as an all-rounder, known for his performances in domestic cricket.",Right-hand bat,-,Wicketkeeper-Batter,https://i.postimg.cc/Hxbwng1k/usa.png
274,Steven Taylor,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382833.png",Kenyan batsman known for his aggressive style and key innings in limited-overs cricket.,Left-hand bat,Right-arm Off-spin,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
280,Shadley Van Schalkwyk,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382834.png",South African cricketer known for his all-round abilities and impactful performances in domestic cricket.,Right-hand bat,Right-arm Medium-fast,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
273,Aaron Jones,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382835.png",Kenyan all-rounder recognized for his contributions in both batting and bowling departments.,Right-hand bat,-,Batsman,https://i.postimg.cc/Hxbwng1k/usa.png
88,Phil Salt,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383141.png",English top-order batsman known for his aggressive style and potential in domestic and international cricket.,Right-hand bat,-,Batsman,https://i.postimg.cc/nzmpjnkg/england.png
77,Moeen Ali,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.png","English all-rounder known for his useful off-spin bowling and aggressive batting, contributing in all formats.",Left-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/nzmpjnkg/england.png
76,Jos Buttler ,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.png","English wicketkeeper-batsman known for his explosive batting and reliable glovework, a key player in limited-overs cricket.",Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/nzmpjnkg/england.png
85,Chris Jordan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383144.png",English fast bowler known for his pace and effectiveness in the death overs of limited-overs cricket.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
80,Harry Brook,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.png",English top-order batsman recognized for his stylish stroke play and potential in various formats.,Right-hand bat,-,Batsman,https://i.postimg.cc/nzmpjnkg/england.png
78,Jofra Archer,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383146.png","English fast bowler renowned for his pace, bounce, and impact in limited-overs formats.",Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
155,Daryl Mitchell,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383147.png",New Zealand all-rounder known for his powerful hitting and useful medium-pace bowling.,Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/ncb4yM79/NZ.png
154,Devon Conway,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383148.png",New Zealand batsman known for his solid technique and impressive performances across formats.,Left-hand bat,-,Wicketkeeper,https://i.postimg.cc/ncb4yM79/NZ.png
90,Mark Wood,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383149.png",English fast bowler renowned for his pace and ability to provide key breakthroughs in all formats.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
89,Reece Topley,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383150.png",English fast bowler with a reputation for his left-arm pace and ability to take crucial wickets.,Right-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
87,Adil Rashid,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383151.png",English leg-spinner known for his variations and impact in limited-overs cricket.,Right-hand bat,Right-arm leg break,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
86,Liam Livingstone,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.png",English all-rounder known for his aggressive batting and useful leg-spin bowling in T20 formats.,Right-hand bat,Right-arm leg break/Right-arm off break,All-rounder,https://i.postimg.cc/nzmpjnkg/england.png
81,Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383153.png",English all-rounder known for his left-arm swing bowling and useful lower-order batting.,Left-hand bat,Left-arm fast-medium,All-rounder,https://i.postimg.cc/nzmpjnkg/england.png
82,Ben Duckett,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383154.png",English batsman known for his aggressive style and contributions in limited-overs formats.,Left-hand bat,-,Batsman,https://i.postimg.cc/nzmpjnkg/england.png
84,Will Jacks,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383155.png",English all-rounder recognized for his explosive batting and useful off-spin bowling.,Right-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/nzmpjnkg/england.png
83,Tom Hartley,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383156.png",English left-arm spinner with a reputation for his effective performances in domestic cricket.,Right-hand bat,Left-arm orthodox,Bowler,https://i.postimg.cc/nzmpjnkg/england.png
79,Jonny Bairstow,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383157.png",English wicketkeeper-batsman known for his aggressive batting and reliable glovework in all formats.,Right-hand bat,-,Batsman,https://i.postimg.cc/nzmpjnkg/england.png
153,Finn Allen,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383164.png",New Zealand batsman with a reputation for aggressive and explosive stroke play.,Right-hand bat,-,Batter,https://i.postimg.cc/ncb4yM79/NZ.png
156,Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.png",New Zealand cricketer known for his aggressive batting and versatile wicketkeeping.,Right-hand bat,Right-arm offbreak,Wicketkeeper,https://i.postimg.cc/ncb4yM79/NZ.png
161,Ish Sodhi,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383170.png",Leg-spinner from New Zealand known for his variations and wicket-taking ability.,Right-hand bat,Right-arm legbreak,Bowler,https://i.postimg.cc/ncb4yM79/NZ.png
158,Jimmy Neesham,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383171.png","Dynamic all-rounder from New Zealand, effective with both bat and ball.",Left-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/ncb4yM79/NZ.png
152,Kane Williamson,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383172.png",New Zealand captain known for his exceptional batting technique and leadership qualities.,Right-hand bat,-,Batter,https://i.postimg.cc/ncb4yM79/NZ.png
160,Lockie Ferguson,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383174.png",New Zealand pace bowler renowned for his speed and aggressive bowling style.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/ncb4yM79/NZ.png
163,Mark Chapman,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383176.png","New Zealand cricketer, versatile batsman, and useful spin bowler.",Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/ncb4yM79/NZ.png
304,Matt Henry,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383178.png",New Zealand fast bowler known for his ability to swing the ball and take wickets.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/ncb4yM79/NZ.png
157,Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383180.png",All-rounder for New Zealand known for his left-arm spin and useful lower-order batting.,Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/ncb4yM79/NZ.png
303,Rachin Ravindra,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383182.png","Young all-rounder from New Zealand, with promising skills in both batting and bowling.",Left-hand,Left-arm orthodox spin,All-rounder,https://i.postimg.cc/ncb4yM79/NZ.png
159,Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383184.png",New Zealand fast bowler with a knack for taking key wickets and delivering in crunch situations.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/ncb4yM79/NZ.png
162,Trent Boult,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.png","Left-arm fast bowler from New Zealand, famous for his swing bowling and match-winning spells.",Left-hand bat,Left-arm fast,Bowler,https://i.postimg.cc/ncb4yM79/NZ.png
281,Nitish Kumar,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383209.png",Canadian batsman known for his solid technique and consistent performances in domestic and international fixtures.,Right-hand bat,Right-arm Off-spin,Batter,https://i.postimg.cc/Hxbwng1k/usa.png
272,Monank Patel,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383210.png",Kenyan top-order batsman known for his reliable batting and crucial innings in various formats.,Right-hand bat,-,Wicketkeeper-Batter,https://i.postimg.cc/Hxbwng1k/usa.png
286,Milind Kumar,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383211.png",Canadian cricketer recognized for his all-round abilities and contributions in various formats.,Right-hand bat,Right-arm Off-spin,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
277,Jasdeep Singh,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383212.png",American cricketer recognized for his performances with both bat and ball in limited-overs cricket.,Right-hand bat,Right-arm Fast-medium,Bowler,https://i.postimg.cc/Hxbwng1k/usa.png
276,Saurabh Netravalkar,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383213.png",American cricketer known for his left-arm spin bowling and contributions in the T20 format.,Right-hand bat,Left-arm Medium-fast,Bowler,https://i.postimg.cc/Hxbwng1k/usa.png
275,Corey Anderson,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383214.png","New Zealand all-rounder known for his powerful hitting and effective medium pace, contributing in all formats.",Left-hand bat,Left-arm Medium-fast,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
285,Nisarg Patel,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383216.png",American cricketer known for his right-arm off-spin and contributions in domestic and international cricket.,Right-hand bat,Left-arm Orthodox,All-rounder,https://i.postimg.cc/Hxbwng1k/usa.png
284,Ali Khan,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383217.png",American fast bowler with a reputation for his pace and ability to provide breakthroughs in limited-overs cricket.,Right-hand bat,Right-arm Fast,Bowler,https://i.postimg.cc/Hxbwng1k/usa.png
279,Nosthush Kenjige,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383218.png",American cricketer with a reputation for his right-arm leg-spin bowling and contributions in domestic and international cricket.,Left-hand bat,Left-arm Orthodox,Bowler,https://i.postimg.cc/Hxbwng1k/usa.png
8,Shivam Dube,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383700/383773.png",Indian all-rounder known for his powerful hitting and useful medium pace bowling.,Left-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/9FmPp07d/India.png
51,Shakib Al Hasan,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png","Bangladeshi all-rounder known for his exceptional spin bowling and aggressive batting, making significant contributions in all formats.",Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/jqFx2JvC/bangladesh.png
212,Richie Berrington,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316587.png",Scottish all-rounder known for his aggressive batting and useful medium pace. Captains the Scotland team in limited-overs formats.,Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/R0WrjP5R/scotland.png
44,David Warner,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316589.png",Australian top-order batsman known for his aggressive hitting and consistency across all formats.,Left-hand bat,-,Batter,https://i.postimg.cc/wTkdJyQh/australia.png
43,Matthew Wade,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316594.png",Australian wicketkeeper-batsman known for his aggressive batting and reliable glovework.,Left-hand bat,-,Wicketkeeper-batter,https://i.postimg.cc/wTkdJyQh/australia.png
31,Mitch Marsh,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316612.png","Australian all-rounder known for his powerful batting and useful pace bowling, contributing significantly in all formats.",Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/wTkdJyQh/australia.png
37,Josh Hazlewood,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316622.png","Australian fast bowler renowned for his accuracy, pace, and ability to provide key breakthroughs.",Left-hand bat,Right-arm fast,Pace bowler,https://i.postimg.cc/wTkdJyQh/australia.png
41,Mitchell Starc,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316644.png","Australian fast bowler renowned for his pace, swing, and ability to take wickets in all formats.",Left-hand bat,Left-arm fast,Pace bowler,https://i.postimg.cc/wTkdJyQh/australia.png
231,David Miller,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316655.png",South African explosive batsman famous for his finishing abilities and powerful hitting in the middle order.,Left-hand bat,-,Batter,https://i.postimg.cc/4yYM7ywT/SA.png
40,Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png","Australian all-rounder known for his explosive batting and useful off-spin, making significant contributions in T20 cricket.",Right-hand bat,Right-arm off-break,All-rounder,https://i.postimg.cc/wTkdJyQh/australia.png
228,Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",South African wicketkeeper-batsman renowned for his aggressive batting and sharp glovework behind the stumps.,Left-hand bat,-,Wicketkeeper,https://i.postimg.cc/4yYM7ywT/SA.png
215,Michael Leask,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316678.png","Scottish all-rounder who contributes with both bat and ball, known for his off-spin and lower-order hitting.",Right-hand bat,Right-arm offbreak,All-rounder,https://i.postimg.cc/R0WrjP5R/scotland.png
219,Safyaan Sharif,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316679.png",Scottish fast bowler known for his ability to swing the ball and pick up important wickets in ODIs and T20s.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/R0WrjP5R/scotland.png
217,Matthew Cross,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316680.png","Scottish wicketkeeper-batsman, recognized for his solid keeping skills and reliable middle-order batting.",Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/R0WrjP5R/scotland.png
49,Soumya Sarkar,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316685.png",Bangladeshi all-rounder recognized for his aggressive batting and useful medium pace bowling.,Left-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/jqFx2JvC/bangladesh.png
33,Pat Cummins,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316692.png","Australian fast bowler known for his pace, bounce, and leadership skills, providing key breakthroughs in all formats.",Right-hand bat,Right-arm fast,Pace bowler,https://i.postimg.cc/wTkdJyQh/australia.png
47,Taskin Ahmed,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316700/316703.png","Bangladeshi fast bowler known for his pace and bounce, providing key breakthroughs in all formats.",Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/jqFx2JvC/bangladesh.png
48,Litton Das ,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319727.png",Bangladeshi wicketkeeper-batsman known for his consistent performances and reliable batting.,Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/jqFx2JvC/bangladesh.png
58,Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Bangladeshi left-arm fast bowler known for his variations and effectiveness in limited-overs cricket.,Left-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/jqFx2JvC/bangladesh.png
251,Kusal Mendis,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png",Sri Lankan top-order batsman known for his stylish stroke play and consistent performances.,Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/cLrn95Bh/SL.png
